"","DATA_YEAR","COUNTY","SOCP","SEX","count","count_moe","share","share_moe"
"1",2022,"Region","BUS-Agents And Business Managers Of Artists, Performers, And Athletes","Female",129,106.064237286891,0.591743119266055,0.330134262639065
"2",2022,"Region","BUS-Agents And Business Managers Of Artists, Performers, And Athletes","Male",89,88.954810465764,0.408256880733945,0.330134262639065
"3",2022,"Region","BUS-Agents And Business Managers Of Artists, Performers, And Athletes","Total",218,140.16181932413,0.000257020612345714,0.000165554975487985
"4",2022,"Region","BUS-Business Operations Specialists, All Other","Female",1061,297.038903083418,0.604903078677309,0.116926489968373
"5",2022,"Region","BUS-Business Operations Specialists, All Other","Male",693,272.531623644395,0.395096921322691,0.116926489968373
"6",2022,"Region","BUS-Business Operations Specialists, All Other","Total",1754,398.197556234653,0.00206795483511185,0.000469637115123104
"7",2022,"Region","BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","Female",346,178.431323308157,0.514880952380952,0.18119797251509
"8",2022,"Region","BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","Male",326,176.928143048244,0.485119047619048,0.18119797251509
"9",2022,"Region","BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","Total",672,262.753929813619,0.000792283722460182,0.000308829660912345
"10",2022,"Region","BUS-Compensation, Benefits, And Job Analysis Specialists","Female",167,100.189818532124,0.810679611650485,0.225433348280982
"11",2022,"Region","BUS-Compensation, Benefits, And Job Analysis Specialists","Male",39,48.9480799929885,0.189320388349515,0.225433348280982
"12",2022,"Region","BUS-Compensation, Benefits, And Job Analysis Specialists","Total",206,105.525179353081,0.000242872688730354,0.000124544168536252
"13",2022,"Region","BUS-Compliance Officers","Female",573,174.541786841289,0.56901688182721,0.126000570177747
"14",2022,"Region","BUS-Compliance Officers","Male",434,191.994475060482,0.43098311817279,0.126000570177747
"15",2022,"Region","BUS-Compliance Officers","Total",1007,276.144499311502,0.00118724659005566,0.000324364678129864
"16",2022,"Region","BUS-Cost Estimators","Female",161,102.46316652217,0.301498127340824,0.166105090929544
"17",2022,"Region","BUS-Cost Estimators","Male",373,162.610975002458,0.698501872659176,0.166105090929544
"18",2022,"Region","BUS-Cost Estimators","Total",534,188.333463011755,0.000629582600883538,0.000222099147178731
"19",2022,"Region","BUS-Fundraisers","Female",210,112.687302817354,0.719178082191781,0.166488333215513
"20",2022,"Region","BUS-Fundraisers","Male",82,60.8572190972443,0.280821917808219,0.166488333215513
"21",2022,"Region","BUS-Fundraisers","Total",292,140.238541403567,0.000344266141307103,0.000164927388213847
"22",2022,"Region","BUS-Human Resources Workers","Female",3319,526.784378413028,0.774924118608452,0.052095334096119
"23",2022,"Region","BUS-Human Resources Workers","Male",964,230.008709533465,0.225075881391548,0.052095334096119
"24",2022,"Region","BUS-Human Resources Workers","Total",4283,558.967151325773,0.00504962973704905,0.000653058398109588
"25",2022,"Region","BUS-Logisticians","Female",173,104.354474784266,0.245738636363636,0.118390778775224
"26",2022,"Region","BUS-Logisticians","Male",531,176.202076984779,0.754261363636364,0.118390778775224
"27",2022,"Region","BUS-Logisticians","Total",704,220.468359535444,0.00083001151876781,0.000259266195254559
"28",2022,"Region","BUS-Management Analysts","Female",2099,390.510492533491,0.426106374340235,0.0572277684050536
"29",2022,"Region","BUS-Management Analysts","Male",2827,435.002047005241,0.573893625659765,0.0572277684050536
"30",2022,"Region","BUS-Management Analysts","Total",4926,603.010421278107,0.00580772264410544,0.00070932525486833
"31",2022,"Region","BUS-Market Research Analysts And Marketing Specialists","Female",954,210.976621032995,0.584917228694053,0.0949348369872185
"32",2022,"Region","BUS-Market Research Analysts And Marketing Specialists","Male",677,242.53069089808,0.415082771305947,0.0949348369872185
"33",2022,"Region","BUS-Market Research Analysts And Marketing Specialists","Total",1631,344.887500371498,0.0019229386180544,0.00040619638170952
"34",2022,"Region","BUS-Meeting, Convention, And Event Planners","Female",413,166.061507486684,0.59,0.194649549946524
"35",2022,"Region","BUS-Meeting, Convention, And Event Planners","Male",287,215.055676227111,0.41,0.194649549946524
"36",2022,"Region","BUS-Meeting, Convention, And Event Planners","Total",700,290.569356133351,0.000825295544229357,0.00034007540738902
"37",2022,"Region","BUS-Project Management Specialists","Female",2129,448.382765059608,0.482985480943739,0.0672294997024758
"38",2022,"Region","BUS-Project Management Specialists","Male",2279,332.821349923649,0.517014519056261,0.0672294997024759
"39",2022,"Region","BUS-Project Management Specialists","Total",4408,528.094193970167,0.00519700394137572,0.000611141734065122
"40",2022,"Region","BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products","Female",699,245.956107031824,0.611548556430446,0.120011922525282
"41",2022,"Region","BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products","Male",444,158.798743922142,0.388451443569554,0.120011922525282
"42",2022,"Region","BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products","Total",1143,292.430850031251,0.00134758972436308,0.000343250847365202
"43",2022,"Region","BUS-Training And Development Specialists","Female",352,172.621177130009,0.418052256532067,0.167136129323301
