"","DATA_YEAR","COUNTY","SOCP","SEX","PRACE","count","count_moe","reliability","share","share_moe"
"1",2022,"Region","BUS-Business Operations Specialists, All Other","Female","White alone",2790,519.726939850389,"good",0.58910472972973,0.0697062627079762
"2",2022,"Region","BUS-Business Operations Specialists, All Other","Female","Total",4736,672.342410960554,"good",0.499156829679595,0.0491687234658999
"3",2022,"Region","BUS-Business Operations Specialists, All Other","Male","White alone",3149,502.874508991806,"good",0.66266835016835,0.0643933286040375
"4",2022,"Region","BUS-Business Operations Specialists, All Other","Male","Total",4752,620.512120029698,"good",0.500843170320405,0.0491687234658999
"5",2022,"Region","BUS-Business Operations Specialists, All Other","Total","Total",9488,893.053213546091,"good",0.00221832757553256,0.000208537800519049
"6",2022,"Region","BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","Female","Total",2666,625.862620000388,"good",0.610347985347985,0.0683356252652691
"7",2022,"Region","BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","Male","White alone",1108,257.523948777099,"good",0.650998824911868,0.124768635606394
"8",2022,"Region","BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","Male","Total",1702,363.715042811677,"good",0.389652014652015,0.0683356252652691
"9",2022,"Region","BUS-Claims Adjusters, Appraisers, Examiners, And Investigators","Total","Total",4368,775.319842672203,"good",0.00102125367305293,0.000181350186106895
"10",2022,"Region","BUS-Compensation, Benefits, And Job Analysis Specialists","Total","Total",1103,242.447832649108,"good",0.000257885256725591,5.66692324588745e-05
"11",2022,"Region","BUS-Compliance Officers","Female","White alone",1900,402.385292307013,"good",0.746268656716418,0.0832175662137021
"12",2022,"Region","BUS-Compliance Officers","Female","Total",2546,471.03074886625,"good",0.54158689640502,0.0626915306788479
"13",2022,"Region","BUS-Compliance Officers","Male","White alone",1384,324.192107686554,"good",0.642227378190255,0.115974913226452
"14",2022,"Region","BUS-Compliance Officers","Male","Total",2155,407.950050281894,"good",0.45841310359498,0.0626915306788479
"15",2022,"Region","BUS-Compliance Officers","Total","Total",4701,651.90936984561,"good",0.00109911023741342,0.000152449425237913
"16",2022,"Region","BUS-Cost Estimators","Male","White alone",1944,361.694316550592,"good",0.891334250343879,0.0586711577377769
"17",2022,"Region","BUS-Cost Estimators","Male","Total",2181,375.568306869736,"good",0.798024149286498,0.0684454895278463
"18",2022,"Region","BUS-Cost Estimators","Total","Total",2733,427.967545165518,"good",0.000638984956147816,9.99877910783186e-05
"19",2022,"Region","BUS-Fundraisers","Female","White alone",1460,333.570348316888,"good",0.887537993920973,0.074407126228326
"20",2022,"Region","BUS-Fundraisers","Female","Total",1645,360.753788264933,"good",0.707831325301205,0.0859472189262983
"21",2022,"Region","BUS-Fundraisers","Total","Total",2324,451.453909091227,"good",0.000543359326047393,0.000105517662703257
"22",2022,"Region","BUS-Human Resources Workers","Female","Asian alone",2379,578.846610106037,"good",0.16654998599832,0.0342698380992955
"23",2022,"Region","BUS-Human Resources Workers","Female","White alone",8806,868.070490136746,"good",0.616493979277513,0.0395073343167409
"24",2022,"Region","BUS-Human Resources Workers","Female","Total",14284,1180.58872009953,"good",0.721523463150982,0.0377313599104079
"25",2022,"Region","BUS-Human Resources Workers","Male","White alone",3860,720.139873825738,"good",0.700163250498821,0.0727352658345606
"26",2022,"Region","BUS-Human Resources Workers","Male","Total",5513,941.066889390042,"good",0.278476536849018,0.037731359910408
"27",2022,"Region","BUS-Human Resources Workers","Total","Total",19797,1533.07460456023,"good",0.0046286078217557,0.000358361333189985
"28",2022,"Region","BUS-Logisticians","Female","Total",1159,283.874528610353,"good",0.299483204134367,0.0632734777853871
"29",2022,"Region","BUS-Logisticians","Male","Total",2711,660.393235239429,"good",0.700516795865633,0.0632734777853871
"30",2022,"Region","BUS-Logisticians","Total","Total",3870,776.438518801553,"good",0.000904819531757061,0.00018150466024902
"31",2022,"Region","BUS-Management Analysts","Female","Asian alone",2006,419.358704957641,"good",0.193648035524665,0.0376503420534896
"32",2022,"Region","BUS-Management Analysts","Female","White alone",7440,884.020229759337,"good",0.718216044019693,0.0401079918886703
"33",2022,"Region","BUS-Management Analysts","Female","Total",10359,961.726708888757,"good",0.463676648314758,0.0329127587789772
"34",2022,"Region","BUS-Management Analysts","Male","Asian alone",1482,345.43687891748,"good",0.123685528292439,0.024879422574701
"35",2022,"Region","BUS-Management Analysts","Male","White alone",9058,869.902146023477,"good",0.755967284259723,0.034823709848889
"36",2022,"Region","BUS-Management Analysts","Male","Total",11982,1053.78011799189,"good",0.536323351685242,0.0329127587789772
"37",2022,"Region","BUS-Management Analysts","Total","Total",22341,1372.79995678904,"good",0.00522340391705026,0.000321027796917514
"38",2022,"Region","BUS-Market Research Analysts And Marketing Specialists","Female","White alone",3008,421.039830747935,"good",0.659215428446198,0.0610401418410747
"39",2022,"Region","BUS-Market Research Analysts And Marketing Specialists","Female","Total",4563,523.144399026215,"good",0.523760330578512,0.0434154730928242
