"Employment Table 1. Experienced Loss of Employment Income, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area",,,,,,,,,,,,,,
"Source: U.S. Census Bureau Household Pulse Survey, Week 53.",,,,,,,,,,,,,,
Note: These data are experimental. Users should take caution using estimates based on subpopulations of the data – sample sizes may be small and the standard errors may be large.**,,,,,,,,,,,,,,
Total Population 18 Years and Older,,,,,,,,,,,,,,
Select characteristics,Total,Experienced loss of employment income in the last 4 weeks (for self or household member),Experienced loss of employment income in the last 4 weeks (for self or household member),Experienced loss of employment income in the last 4 weeks (for self or household member),,,,,,,,,,
,,Yes,No,Did not report,,,,,,,,,,
,,,,,,,,,,,,,,
Total,"3,026,067","441,213","2,544,660","40,194",,,,,,,,,,
Age ,,,,,,,,,,,,,,
    18 - 24,"273,101","119,691","151,307","2,103",,,,,,,,,,
    25 - 39,"941,910","129,552","789,989","22,369",,,,,,,,,,
    40 - 54,"751,450","106,347","637,672","7,431",,,,,,,,,,
    55 - 64,"490,163","55,183","432,204","2,776",,,,,,,,,,
    65 and above,"569,443","30,441","533,488","5,514",,,,,,,,,,
Sex at birth ,,,,,,,,,,,,,,
    Male,"1,590,209","202,519","1,369,031","18,659",,,,,,,,,,
    Female,"1,435,858","238,694","1,175,628","21,535",,,,,,,,,,
Gender ,,,,,,,,,,,,,,
    Cisgender male,"1,492,518","187,634","1,295,099","9,785",,,,,,,,,,
    Cisgender female,"1,333,598","234,890","1,084,042","14,666",,,,,,,,,,
    Transgender,"41,648","3,549","38,099",-,,,,,,,,,,
    None of these,"81,368","2,233","79,135",-,,,,,,,,,,
    Did not report,"76,935","12,908","48,285","15,742",,,,,,,,,,
Sexual orientation ,,,,,,,,,,,,,,
    Gay or lesbian,"97,494","14,237","82,151","1,107",,,,,,,,,,
    Straight,"2,513,353","321,548","2,169,926","21,879",,,,,,,,,,
    Bisexual,"240,977","76,723","164,254",-,,,,,,,,,,
    Something else,"52,545","6,016","46,529",-,,,,,,,,,,
    I don’t know,"66,795","21,009","43,318","2,468",,,,,,,,,,
    Did not report,"54,902","1,679","38,483","14,741",,,,,,,,,,
"Lesbian, Gay, Bisexual and Transgender ",,,,,,,,,,,,,,
    Yes,"370,069","92,532","276,430","1,107",,,,,,,,,,
    No,"2,425,428","308,641","2,096,612","20,175",,,,,,,,,,
    Other,"123,841","25,454","95,918","2,468",,,,,,,,,,
    Did not report,"106,730","14,587","75,699","16,444",,,,,,,,,,
Hispanic origin and Race ,,,,,,,,,,,,,,
    Hispanic or Latino (may be of any race),"280,204","55,694","224,510",-,,,,,,,,,,
"    White alone, not Hispanic","1,905,681","254,032","1,629,083","22,566",,,,,,,,,,
"    Black alone, not Hispanic","175,774","26,631","143,361","5,781",,,,,,,,,,
"    Asian alone, not Hispanic","372,692","23,814","340,057","8,822",,,,,,,,,,
"    Two or more races + Other races, not Hispanic","291,716","81,042","207,650","3,025",,,,,,,,,,
Education ,,,,,,,,,,,,,,
    Less than high school,"87,731","28,726","59,005",-,,,,,,,,,,
    High school or GED,"765,382","166,220","599,162",-,,,,,,,,,,
    Some college/associate’s degree,"911,042","124,123","773,482","13,437",,,,,,,,,,
    Bachelor’s degree or higher,"1,261,912","122,145","1,113,010","26,757",,,,,,,,,,
Marital status ,,,,,,,,,,,,,,
    Married,"1,627,416","170,478","1,441,893","15,045",,,,,,,,,,
    Widowed,"102,890","11,471","90,717",702,,,,,,,,,,
    Divorced/separated,"341,975","56,716","282,217","3,042",,,,,,,,,,
    Never married,"937,072","202,548","727,157","7,367",,,,,,,,,,
    Did not report,"16,715",-,"2,676","14,038",,,,,,,,,,
Household size ,,,,,,,,,,,,,,
    1 person in the household,"304,478","23,536","277,978","2,965",,,,,,,,,,
    2 people in the household,"1,005,924","107,519","889,440","8,965",,,,,,,,,,
    3 people in the household,"599,855","89,207","496,626","14,022",,,,,,,,,,
    4 people in the household,"577,037","94,837","474,532","7,668",,,,,,,,,,
    5 people in the household,"247,964","36,335","210,633",995,,,,,,,,,,
    6 people in the household,"176,668","74,859","100,068","1,741",,,,,,,,,,
    7 or more people in the household,"114,142","14,921","95,382","3,838",,,,,,,,,,
Presence of children under 18 years old ,,,,,,,,,,,,,,
    Children in household,"1,051,388","189,511","838,762","23,115",,,,,,,,,,
    No children,"1,974,679","251,702","1,705,898","17,079",,,,,,,,,,
Household income ,,,,,,,,,,,,,,
"    Less than $25,000","183,989","36,785","147,204",-,,,,,,,,,,
"    $25,000 - $34,999","130,661","41,446","89,215",-,,,,,,,,,,
"    $35,000 - $49,999","188,488","36,391","152,098",-,,,,,,,,,,
