"Employment Table 1. Experienced Loss of Employment Income, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area",,,,,,,,,,,,,,
"Source: U.S. Census Bureau Household Pulse Survey, Week 42.",,,,,,,,,,,,,,
Note: These data are experimental. Users should take caution using estimates based on subpopulations of the data – sample sizes may be small and the standard errors may be large.**,,,,,,,,,,,,,,
Total Population 18 Years and Older,,,,,,,,,,,,,,
Select characteristics,Total,Experienced loss of employment income in the last 4 weeks (for self or household member),Experienced loss of employment income in the last 4 weeks (for self or household member),Experienced loss of employment income in the last 4 weeks (for self or household member),,,,,,,,,,
,,Yes,No,Did not report,,,,,,,,,,
,,,,,,,,,,,,,,
Total,"3,076,992","473,540","2,560,484","42,968",,,,,,,,,,
Age ,,,,,,,,,,,,,,
    18 - 24,"277,121","48,342","226,175","2,604",,,,,,,,,,
    25 - 39,"984,490","188,698","782,503","13,288",,,,,,,,,,
    40 - 54,"777,542","124,049","636,115","17,379",,,,,,,,,,
    55 - 64,"474,503","83,161","384,693","6,649",,,,,,,,,,
    65 and above,"563,336","29,290","530,998","3,047",,,,,,,,,,
Sex at birth ,,,,,,,,,,,,,,
    Male,"1,519,985","226,081","1,276,712","17,193",,,,,,,,,,
    Female,"1,557,007","247,460","1,283,772","25,775",,,,,,,,,,
Gender ,,,,,,,,,,,,,,
    Cisgender male,"1,464,461","213,550","1,240,840","10,071",,,,,,,,,,
    Cisgender female,"1,510,984","243,271","1,244,760","22,953",,,,,,,,,,
    Transgender,"23,488","1,339","22,149",-,,,,,,,,,,
    None of these,"50,639","13,945","36,694",-,,,,,,,,,,
    Did not report,"27,420","1,436","16,040","9,943",,,,,,,,,,
Sexual orientation ,,,,,,,,,,,,,,
    Gay or lesbian,"96,574","16,324","80,249",-,,,,,,,,,,
    Straight,"2,591,384","368,989","2,199,673","22,722",,,,,,,,,,
    Bisexual,"199,747","59,397","138,806","1,544",,,,,,,,,,
    Something else,"93,633","15,650","77,983",-,,,,,,,,,,
    I don’t know,"57,072","12,750","43,006","1,316",,,,,,,,,,
    Did not report,"38,583",430,"20,767","17,385",,,,,,,,,,
"Lesbian, Gay, Bisexual and Transgender ",,,,,,,,,,,,,,
    Yes,"301,059","76,559","222,956","1,544",,,,,,,,,,
    No,"2,567,382","366,431","2,178,229","22,722",,,,,,,,,,
    Other,"155,647","28,685","125,646","1,316",,,,,,,,,,
    Did not report,"52,905","1,866","33,654","17,385",,,,,,,,,,
Hispanic origin and Race ,,,,,,,,,,,,,,
    Hispanic or Latino (may be of any race),"304,528","83,564","216,151","4,813",,,,,,,,,,
"    White alone, not Hispanic","1,958,351","251,087","1,680,537","26,727",,,,,,,,,,
"    Black alone, not Hispanic","179,687","35,562","140,999","3,127",,,,,,,,,,
"    Asian alone, not Hispanic","367,542","24,407","339,899","3,236",,,,,,,,,,
"    Two or more races + Other races, not Hispanic","266,884","78,921","182,898","5,065",,,,,,,,,,
Education ,,,,,,,,,,,,,,
    Less than high school,"178,260","68,451","109,810",-,,,,,,,,,,
    High school or GED,"747,837","156,776","572,622","18,439",,,,,,,,,,
    Some college/associate’s degree,"869,463","147,523","712,868","9,071",,,,,,,,,,
    Bachelor’s degree or higher,"1,281,432","100,790","1,165,184","15,458",,,,,,,,,,
Marital status ,,,,,,,,,,,,,,
    Married,"1,645,956","217,818","1,411,789","16,349",,,,,,,,,,
    Widowed,"136,608","2,747","133,225",636,,,,,,,,,,
    Divorced/separated,"411,629","81,240","321,401","8,987",,,,,,,,,,
    Never married,"861,638","170,733","681,728","9,177",,,,,,,,,,
    Did not report,"21,162","1,002","12,341","7,818",,,,,,,,,,
Household size ,,,,,,,,,,,,,,
    1 person in the household,"310,439","32,194","270,825","7,420",,,,,,,,,,
    2 people in the household,"1,060,259","115,293","926,186","18,780",,,,,,,,,,
    3 people in the household,"620,282","109,195","505,094","5,993",,,,,,,,,,
    4 people in the household,"515,878","72,745","436,062","7,070",,,,,,,,,,
    5 people in the household,"299,232","79,132","216,690","3,409",,,,,,,,,,
    6 people in the household,"117,296","24,307","92,694",296,,,,,,,,,,
    7 or more people in the household,"153,608","40,675","112,933",-,,,,,,,,,,
Presence of children under 18 years old ,,,,,,,,,,,,,,
    Children in household,"1,074,073","205,412","857,765","10,897",,,,,,,,,,
    Did not report,"2,002,919","268,129","1,702,719","32,071",,,,,,,,,,
Household income ,,,,,,,,,,,,,,
"    Less than $25,000","174,425","50,880","123,545",-,,,,,,,,,,
"    $25,000 - $34,999","205,717","70,968","134,748",-,,,,,,,,,,
"    $35,000 - $49,999","216,580","64,457","152,123",-,,,,,,,,,,
